,poets,titles,fulltexts
10,Samuel Butler,"Religion Of Hudibras, The","
For his religion it was fit
To match his learning and his wit:
'Twas Presbyterian true blue;
For he was of that stubborn crew
Of errant saints, whom all men grant
To be the true church militant;
Such as do build their faith upon
The holy text of pike and gun;
Decide all controversies by
Infallible artillery;
And prove their doctrine orthodox,
By apostolic blows and knocks;
Call fire, and sword, and desolation,
A godly, thorough reformation,
Which always must be carried on,
And still be doing, never done;
As if religion were intended
For nothing else but to be mended:
A sect whose chief devotion lies
In odd perverse antipathies;
In falling out with that or this,
And finding somewhat still amiss;
More peevish, cross, and splenetic,
Than dog distract, or monkey sick;
That with more care keep holy-day
The wrong, than others the right way,
Compound for sins they are inclin'd to,
By damning those they have no mind to:
Still so perverse and opposite,
As if they worshipped God for spite:
The self-same thing they will abhor
One way, and long another for:
Free-will they one way disavow,
Another, nothing else allow:
All piety consists therein
In them, in other men all sin:
Rather than fail, they will defy
That which they love most tenderly;
Quarrel with minc'd pies and disparage
Their best and dearest friend, plum porridge,
Fat pig and goose itself oppose,
And blaspheme custard through the nose."
11,Reginald Heber,Sympathy,"
A knight and a lady once met in a grove
While each was in quest of a fugitive love;
A river ran mournfully murmuring by,
And they wept in its waters for sympathy.

""Oh, never was knight such a sorrow that bore!""
""Oh, never was maid so deserted before!""
""From life and its woes let us instantly fly,
And jump in together for company!""

They searched for an eddy that suited the deed,
But here was a bramble and there was a weed;
""How tiresome it is!"" said the fair, with a sigh;
So they sat down to rest them in company.

They gazed at each other, the maid and the knight;
How fair was her form, and how goodly his height!
""One mournful embrace,"" sobbed the youth, ""ere we die!""
So kissing and crying kept company.

""Oh, had I but loved such an angel as you!""
""Oh, had but my swain been a quarter as true!""
""To miss such perfection how blinded was I!""
Sure now they were excellent company!

At length spoke the lass, 'twixt a smile and a tear,
""The weather is cold for a watery bier;
When summer returns we may easily die,
Till then let us sorrow in company."""
12,Parmenas Mix,He Came To Pay,"
The editor sat with his head in his hands
And his elbows at rest on his knees;
He was tired of the ever-increasing demands
On his time, and he panted for ease.
The clamor for copy was scorned with a sneer,
And he sighed in the lowest of tones:
""Won't somebody come with a dollar to cheer
The heart of Emanuel Jones?""

Just then on the stairway a footstep was heard
And a rap-a-tap loud at the door,
And the flickering hope that had been long deferred
Blazed up like a beacon once more;
And there entered a man with a cynical smile
That was fringed with a stubble of red,
Who remarked, as he tilted a sorry old tile
To the back of an average head:

""I have come here to pay"" Here the editor cried:
""You're as welcome as flowers in spring!
Sit down in this easy armchair by my side,
And excuse me awhile till I bring
A lemonade dashed with a little old wine
And a dozen cigars of the best....
Ah! Here we are! This, I assure you, is fine;
Help yourself, most desirable guest.""

The visitor drank with a relish, and smoked
Till his face wore a satisfied glow,
And the editor, beaming with merriment, joked
In a joyous, spontaneous flow;
And then, when the stock of refreshments was gone,
His guest took occasion to say,
In accents distorted somewhat by a yawn,
""My errand up here is to pay, ""

But the generous scribe, with a wave of his hand,
Put a stop to the speech of his guest,
And brought in a melon, the finest the land
Ever bore on its generous breast;
And the visitor, wearing a singular grin,
Seized the heaviest half of the fruit,
And the juice, as it ran in a stream from his chin,
Washed the mud of the pike from his boot.

Then, mopping his face on a favorite sheet
Which the scribe had laid carefully by,
The visitor lazily rose to his feet
With the dreariest kind of a sigh,
And he said, as the editor sought his address,
In his books to discover his due:
""I came here to pay, my respects to the press,
And to borrow a dollar of you!"""
13,Parmenas Mix,Accepted And Will Appear,"
 One evening while reclining
 In my easy-chair, repining
O'er the lack of true religion, and the dearth of common sense,
 A solemn visaged lady,
 Who was surely on the shady
Side of thirty, entered proudly, and to crush me did commence:

 ""I sent a poem here, sir,""
 Said the lady, growing fiercer,
""And the subject which I'd chosen, you remember, sir, was 'Spring';
 But, although I've scanned your paper,
 Sir, by sunlight, gas, and taper,
I've discovered of that poem not a solitary thing.""

 She was muscular and wiry,
 And her temper sure was fiery,
And I knew to pacify her I would have to, fib like fun.
 So I told her ere her verses,
 Which were great, had come to, bless us,
We'd received just sixty-one on ""Spring,"" of which we'd printed one.

 And I added, ""We've decided
 That they'd better be divided
Among the years that follow, one to each succeeding Spring.
 So your work, I'm pleased to mention,
 Will receive our best attention
In the year of nineteen-forty, when the birds begin to sing."""
14,H. C. Dodge,If,"If a man could live a thousand years,
When half his life had passed,
He might, by strict economy,
A fortune have amassed.

Then having gained some common-sense,
And knowledge, too, of life,
He could select the woman who
Would make him a true wife.

But as it is, man hasn't time
To even pay his debts,
And weds to be acquainted with
The woman whom he gets."
15,H. C. Dodge,"Splendid Fellow, A",
16,John Marriott,"Devonshire Lane, The","
In a Devonshire lane as I trotted along
T'other day, much in want of a subject for song;
Thinks I to myself, I have hit on a strain,
Sure marriage is much like a Devonshire lane.

In the first place, 'tis long, and when once you are in it,
It holds you as fast as the cage holds a linnet;
For howe'er rough and dirty the road may be found,
Drive forward you must, since there's no turning round.

But though 'tis so long, it is not very wide,
For two are the most that together can ride;
And e'en there 'tis a chance but they get in a pother,
And jostle and cross, and run foul of each other.

Old Poverty greets them with mendicant looks,
And Care pushes by them o'erladen with crooks,
And Strife's grating wheels try between them to pass,
Or Stubbornness blocks up the way on her ass.

Then the banks are so high, both to left hand and right,
That they shut up the beauties around from the sight;
And hence, you'll allow, 'tis an inference plain
That marriage is just like a Devonshire lane.

But, thinks I, too, these banks within which we are pent,
With bud, blossom, and berry are richly besprent;
And the conjugal fence which forbids us to roam
Looks lovely when deck'd with the comforts of home.

In the rock's gloomy crevice the bright holly grows,
The ivy waves fresh o'er the withering rose;
And the evergreen love of a virtuous wife
Smooths the roughness of care, cheers the winter of life.

Then long be the journey and narrow the way;
I'll rejoice that I've seldom a turnpike to pay;
And, whate'er others think, be the last to complain,
Though marriage is just like a Devonshire lane."
17,Captain C. Morris,"Contrast, The","
In London I never know what I'd be at,
Enraptured with this, and enchanted with that;
I'm wild with the sweets of variety's plan,
And life seems a blessing too happy for man.

But the country, Lord help me! sets all matters right,
So calm and composing from morning to night;
Oh, it settles the spirits when nothing is seen
But an ass on a common, a goose on a green!

In town, if it rain, why it damps not our hope,
The eye has her choice, and the fancy her scope;
What harm though it pour whole nights or whole days?
It spoils not our prospects, or stops not our ways.

In the country, what bliss, when it rains in the fields,
To live on the transports that shuttlecock yields;
Or go crawling from window to window, to see
A pig on a dunghill or crow on a tree.

In town, we've no use for the skies overhead,
For when the sun rises then we go to bed;
And as to that old-fashioned virgin the moon,
She shines out of season, like satin in June.

In the country, these planets delightfully glare,
Just to show us the object we want isn't there;
Oh, how cheering and gay, when their beauties arise,
To sit and gaze round with the tears in one's eyes!

But 'tis in the country alone we can find
That happy resource, the relief of the mind,
When, drove to despair, our last efforts we make,
And drag the old fish-pond, for novelty's sake:

Indeed I must own, 'tis a pleasure complete
To see ladies well-draggled and wet in their feet;
But what is all that to the transport we feel
When we capture, in triumph, two toads and an eel?

I have heard though, that love in a cottage is sweet,
When two hearts in one link of soft sympathy meet;
That's to come, for as yet I, alas! am a swain,
Who require, I own it, more links to my chain.

In the country, if Cupid should find a man out,
The poor tortured victim mopes hopeless about;
But in London, thank Heaven! our peace is secure,
Where for one eye to kill, there's a thousand to cure.

In town let me live then, in town let me die,
For in truth I can't relish the country, not I.
If one must have a villa in summer to dwell,
Oh, give me the sweet shady side of Pall Mall!"
18,Unknown,All's Well That Ends Well,"
A friend of mine was married to a scold,
To me he came, and all his troubles told.
Said he, ""She's like a woman raving mad.""
""Alas! my friend,"" said I, ""that's very bad!""
""No, not so bad,"" said he; ""for, with her, true
I had both house and land, and money too.""
""That was well,"" said I;
""No, not so well,"" said he;
""For I and her own brother
Went to law with one another;
I was cast, the suit was lost,
And every penny went to pay the cost.""
""That was bad,"" said I;
""No, not so bad,"" said he:
""For we agreed that he the house should keep,
And give to me four score of Yorkshire sheep
All fat, and fair, and fine, they were to be.""
""Well, then,"" said I, ""sure that was well for thee?""
""No, not so well,"" said he;
""For, when the sheep I got,
They every one died of the rot.""
""That was bad,"" said I;
""No, not so bad,"" said he;
""For I had thought to scrape the fat,
And keep it in an oaken vat;
Then into tallow melt for winter store.""
""Well, then,"" said I, ""that's better than before?""
""'Twas not so well,"" said he;
""For having got a clumsy fellow
To scrape the fat and melt the tallow;
Into the melting fat the fire catches,
And, like brimstone matches,
Burnt my house to ashes.""
""That was bad,"" said I;
""No! not so bad,"" said he; ""for, what is best,
My scolding wife has gone among the rest."""
19,George Robert Sims,"By Parcels Post, A Domestic Idyll","
I sent my love a parcel
In the days when we were young,
Or e'er by care and trouble
Our heart-strings had been wrung.
By parcels post I sent it,
What 'twas I do not know,
In the days when we were courting,
A long time ago.

The spring-time waxed to summer,
Then autumn leaves grew red,
And in the sweet September
My love and I were wed.
But though the Church had blessed us,
My little wife looked glum;
I'd posted her a parcel,
And the parcel hadn't come.

Ah, many moons came after,
And then there was a voice,
A little voice whose music
Would make our hearts rejoice.
And, singing to her baby,
My dear one oft would say,
""I wonder, baby darling,
Will that parcel come to-day?""

The gold had changed to silver
Upon her matron brow;
The years were eight-and-twenty
Since we breathed our marriage vow,
And our grandchildren were playing
Hunt-the-slipper on the floor,
When they saw the postman standing
By our open cottage door.

Then they ran with joy to greet him,
For they knew he'd come at last;
They had heard me tell the story
Very often in the past.
He handed them a parcel,
And they brought it in to show,
'Twas the parcel I had posted
Eight-and-twenty years ago."
20,Matthew Prior,"Remedy Worse Than The Disease, A","I sent for Ratcliffe; was so ill,
That other doctors gave me over:
He felt my pulse, prescribed his pill,
And I was likely to recover.

But when the wit began to wheeze,
And wine had warm'd the politician,
Cured yesterday of my disease,
I died last night of my physician."
21,Selleck Osborn,"Modest Wit, A","
A supercilious nabob of the East,
Haughty, being great, purse-proud, being rich,
A governor, or general, at the least,
I have forgotten which,

Had in his family a humble youth,
Who went from England in his patron's suite,
An unassuming boy, in truth
A lad of decent parts, and good repute.

This youth had sense and spirit;
But yet with all his sense,
Excessive diffidence
Obscured his merit.

One day, at table, flushed with pride and wine,
His honor, proudly free, severely merry,
Conceived it would be vastly fine
To crack a joke upon his secretary.

""Young man,"" he said, ""by what art, craft, or trade
Did your good father gain a livelihood?""
""He was a saddler, sir,"" Modestus said,
""And in his time was reckoned good.""

""A saddler, eh? and taught you Greek,
Instead of teaching you to sew!
Pray, why did not your father make
A saddler, sir, of you?""

Each parasite, then, as in duty bound,
The joke applauded, and the laugh went round.
At length Modestus, bowing low,
Said (craving pardon, if too free he made),
""Sir, by your leave, I fain would know
Your father's trade!""

""My father's trade! by Heaven, that's too bad!
My father's trade? Why, blockhead, are you mad?
My father, sir, did never stoop so low,
He was a gentleman, I'd have you know.""

""Excuse the liberty I take,""
Modestus said, with archness on his brow,
""Pray, why did not your father make
A gentleman of you?"""
22,William Schwenck Gilbert,Sing For The Garish Eye,"
Sing for the garish eye,
When moonless brandlings cling!
Let the froddering crooner cry,
And the braddled sapster sing.
For never, and never again,
Will the tottering beechlings play,
For bratticed wrackers are singing aloud,
And the throngers croon in May!

The wracking globe unstrung,
Unstrung in the frittering light
Of a moon that knows no day,
Of a day that knows no night!
Diving away in the crowd
Of sparkling frets in spray,
The bratticed wrackers are singing aloud,
And the throngers croon in May!

Hasten, O hapful blue,
Blue, of the shimmering brow,
Hasten the deed to do
That shall roddle the welkin now!
For never again shall a cloud
Out-thribble the babbling day,
When bratticed wrackers are singing aloud,
And the throngers croon in May!
"
23,William Schwenck Gilbert,There was an Old Man of St. Bees,"There was an Old Man of St. Bees
Who was stung in the arm by a wasp.
When asked, ""Does it hurt?""
He replied, ""No, it doesn't,
But I thought all the while 'twas a hornet."""
24,John Byrom,Which Is Which,"""God bless the King! God bless the faith's defender!
God bless, no harm in blessing, the Pretender.
But who pretender is, and who is king,
God bless us all, that's quite another thing."""
25,John Byrom,"Three Black Crows, The","
Two honest tradesmen meeting in the Strand,
One took the other briskly by the hand;
""Hark-ye,"" said he, ""'tis an odd story, this,
About the crows!"" ""I don't know what it is,""
Replied his friend. ""No! I'm surprised at that;
Where I came from it is the common chat;
But you shall hear, an odd affair indeed!
And that it happened, they are all agreed.
Not to detain you from a thing so strange,
A gentleman, that lives not far from 'Change,
This week, in short, as all the alley knows,
Taking a puke, has thrown up three black crows.""
""Impossible!"" ""Nay, but it's really true;
I have it from good hands, and so may you.""
""From whose, I pray?"" So, having named the man,
Straight to inquire his curious comrade ran.
""Sir, did you tell"" relating the affair.
""Yes, sir, I did; and, if it's worth your care,
Ask Mr. Such-a-one, he told it me.
But, by the bye, 'twas two black crows, not three.""
Resolved to trace so wondrous an event,
Whip, to the third, the virtuoso went;
""Sir"" and so forth. ""Why, yes; the thing is fact,
Though, in regard to number, not exact;
It was not two black crows, 'twas only one;
The truth of that you may depend upon;
The gentleman himself told me the case.""
""Where may I find him?"" ""Why, in such a place.""
Away goes he, and, having found him out,
""Sir, be so good as to resolve a doubt.""
Then to his last informant he referred,
And begged to know if true what he had heard.
""Did you, sir, throw up a black crow?"" ""Not I.""
""Bless me! how people propagate a lie!
Black crows have been thrown up, three, two, and one;
And here, I find, all comes, at last, to none.
Did you say nothing of a crow at all?""
""Crow, crow, perhaps I might, now I recall
The matter over."" ""And pray, sir, what was't?""
""Why, I was horrid sick, and, at the last,
I did throw up, and told my neighbor so,
Something that was, as black, sir, as a crow."""
26,Robert Southey,"Pig, The","
A COLLOQUIAL POEM


Jacob! I do not like to see thy nose
Turn'd up in scornful curve at yonder pig,
It would be well, my friend, if we like him,
Were perfect in our kind!... And why despise
The sow-born grunter?... He is obstinate,
Thou answerest; ugly, and the filthiest beast
That banquets upon offal.... Now I pray you
Hear the pig's counsel.
Is he obstinate?
We must not, Jacob, be deceived by words;
We must not take them as unheeding hands
Receive base money at the current worth
But with a just suspicion try their sound,
And in the even balance weight them well
See now to what this obstinacy comes:
A poor, mistreated, democratic beast,
He knows that his unmerciful drivers seek
Their profit, and not his. He hath not learned
That pigs were made for man,... born to be brawn'd
And baconized: that he must please to give
Just what his gracious masters please to take;
Perhaps his tusks, the weapons Nature gave
For self-defense, the general privilege;
Perhaps,... hark, Jacob! dost thou hear that horn?
Woe to the young posterity of Pork!
Their enemy is at hand.
Again. Thou say'st
The pig is ugly. Jacob, look at him!
Those eyes have taught the lover flattery.
His face,... nay, Jacob! Jacob! were it fair
To judge a lady in her dishabille?
Fancy it dressed, and with saltpeter rouged.
Behold his tail, my friend; with curls like that
The wanton hop marries her stately spouse:
So crisp in beauty Amoretta's hair
Rings round her lover's soul the chains of love.
And what is beauty, but the aptitude
Of parts harmonious? Give thy fancy scope,
And thou wilt find that no imagined change
Can beautify this beast. Place at his end
The starry glories of the peacock's pride,
Give him the swan's white breast; for his horn-hoofs
Shape such a foot and ankle as the waves
Crowded in eager rivalry to kiss
When Venus from the enamor'd sea arose;...
Jacob, thou canst but make a monster of him!
An alteration man could think, would mar
His pig-perfection.
The last charge,... he lives
A dirty life. Here I could shelter him
With noble and right-reverend precedents.
And show by sanction of authority
That 'tis a very honorable thing
To thrive by dirty ways. But let me rest
On better ground the unanswerable defense.
The pig is a philosopher, who knows
No prejudice. Dirt?... Jacob, what is dirt?
If matter,... why the delicate dish that tempts
An o'ergorged epicure to the last morsel
That stuffs him to the throat-gates, is no more.
If matter be not, but as sages say,
Spirit is all, and all things visible
Are one, the infinitely modified,
Think, Jacob, what that pig is, and the mire
Wherein he stands knee-deep!
And there! the breeze
Pleads with me, and has won thee to a smile
That speaks conviction. O'er yon blossom'd field
Of beans it came, and thoughts of bacon rise."
27,Robert Southey,"March To Moscow, The","
The Emperor Nap he would set off
On a summer excursion to Moscow;
The fields were green and the sky was blue,
Morbleu! Parbleu!
What a splendid excursion to Moscow!

Four hundred thousand men and more
Must go with him to Moscow:
There were Marshals by the dozen,
And Dukes by the score;
Princes a few, and Kings one or two;
While the fields are so green, and the sky so blue,
Morbleu! Parbleu!
What a pleasant excursion to Moscow!

There was Junot and Augereau,
Heigh-ho for Moscow!
Dombrowsky and Poniatowsky,
Marshall Ney, lack-a-day!
General Rapp, and the Emperor Nap;
Nothing would do,
While the fields were so green, and the sky so blue,
Morbleu! Parbleu!
Nothing would do
For the whole of his crew,
But they must be marching to Moscow.

The Emperor Nap he talk'd so big
That he frighten'd Mr. Roscoe.
John Bull, he cries, if you'll be wise,
Ask the Emperor Nap if he will please
To grant you peace upon your knees,
Because he is going to Moscow!
He'll make all the Poles come out of their holes,
And beat the Russians, and eat the Prussians;
For the fields are green, and the sky is blue,
Morbleu! Parbleu!
And he'll certainly march to Moscow!
And Counsellor Brougham was all in a fume
At the thought of the march to Moscow:
The Russians, he said, they were undone,
And the great Fee-Faw-Fum
Would presently come,
With a hop, step, and jump, unto London,
For, as for his conquering Russia,
However some persons might scoff it,
Do it he could, do it he would,
And from doing it nothing would come but good,
And nothing could call him off it.
Mr. Jeffrey said so, who must certainly know,
For he was the Edinburgh Prophet.
They all of them knew Mr. Jeffrey's Review,
Which with Holy Writ ought to be reckon'd:
It was, through thick and thin, to its party true,
Its back was buff, and its sides were blue,
Morbleu! Parbleu!
It served them for law and for gospel too.

But the Russians stoutly they turned to
Upon the road to Moscow.
Nap had to fight his way all through;
They could fight, though they could not parlez-vous;
But the fields were green, and the sky was blue,
Morbleu! Parbleu!
And so he got to Moscow.

He found the place too warm for him,
For they set fire to Moscow.
To get there had cost him much ado,
And then no better course he knew
While the fields were green, and the sky was blue,
Morbleu! Parbleu!
But to march back again from Moscow.

The Russians they stuck close to him
All on the road from Moscow.
There was Tormazow and Jemalow,
And all the others that end in ow;
 Milarodovitch and Jaladovitch,
And Karatschkowitch,
And all the others that end in itch;
Schamscheff, Souchosaneff,
And Schepaleff,
And all the others that end in eff:
Wasiltschikoff, Kotsomaroff,
And Tchoglokoff,
And all the others that end in off;
Rajeffsky, and Novereffsky,
And Rieffsky,
And all the others that end in effsky;
Oscharoffsky and Rostoffsky,
And all the others that end in offsky;
And Platoff he play'd them off,
And Shouvaloff he shovell'd them off,
And Markoff he mark'd them off,
And Krosnoff he cross'd them off,
And Touchkoff he touch'd them off,
And Boroskoff he bored them off,
And Kutousoff he cut them off,
And Parenzoff he pared them off,
And Worronzoff he worried them off,
And Doctoroff he doctor'd them off,
And Rodinoff he flogg'd them off.
And, last of all, an Admiral came,
A terrible man with a terrible name,
A name which you all know by sight very well,
But which no one can speak, and no one can spell.
They stuck close to Nap with all their might;
They were on the left and on the right
Behind and before, and by day and by night;
He would rather parlez-vous than fight;
But he look'd white, and he look'd blue.
Morbleu! Parbleu!
When parlez-vous no more would do.
For they remember'd Moscow.

And then came on the frost and snow
All on the road from Moscow.
The wind and the weather he found, in that hour,
Cared nothing for him, nor for all his power;
For him who, while Europe crouch'd under his rod,
Put his trust in his Fortune, and not in his God.
Worse and worse every day the elements grew,
The fields were so white and the sky was so blue,
Sacrebleu! Ventrebleu!
What a horrible journey from Moscow!

What then thought the Emperor Nap
Upon the road from Moscow?
Why, I ween he thought it small delight
To fight all day, and to freeze all night;
And he was besides in a very great fright,
For a whole skin he liked to be in;
And so not knowing what else to do,
When the fields were so white, and the sky so blue,
Morbleu! Parbleu!
He stole away, I tell you true,
Upon the road from Moscow.
'Tis myself, quoth he, I must mind most;
So the devil may take the hindmost.

Too cold upon the road was he;
Too hot had he been at Moscow;
But colder and hotter he may be,
For the grave is colder than Moscovy;
And a place there is to be kept in view,
Where the fire is red, and the brimstone blue,
Morbleu! Parbleu!
Which he must go to,
If the Pope say true,
If he does not in time look about him;
Where his namesake almost
He may have for his Host;
He has reckon'd too long without him;
If that Host get him in Purgatory,
He won't leave him there alone with his glory;
But there he must stay for a very long day,
For from thence there is no stealing away,
As there was on the road from Moscow."
